机构,比较分组,默认保障资料参考分,主榜名次,并列,有加分依据维度数,总维度数,评分说明,口碑提示（不计入分数）,证据截至,模型版本,换人保障得分（满分30）,换人保障档位（0–5）,换人保障依据与缺口,换人保障来源,退出与退费得分（满分20）,退出与退费档位（0–5）,退出与退费依据与缺口,退出与退费来源,人员筛选得分（满分15）,人员筛选档位（0–5）,人员筛选依据与缺口,人员筛选来源,督导与售后得分（满分15）,督导与售后档位（0–5）,督导与售后依据与缺口,督导与售后来源,主体与北京业务得分（满分10）,主体与北京业务档位（0–5）,主体与北京业务依据与缺口,主体与北京业务来源,费用透明度得分（满分10）,费用透明度档位（0–5）,费用透明度依据与缺口,费用透明度来源
佳翊会,北京育儿业务有线索,9,54,是,2,6,北京到家育儿文案和培训介绍可核，但换退及费用没有公开依据，品牌与具体签约法人仍需对应。,可新增为北京母婴到家候选。育儿服务文案明确，但独立育儿口碑和换人、退费条款不足，不据高端定位作质量排名。,2026-09-21,1.0,0,0,已查佳翊会换人和合同资料，机构介绍虽列到家育儿服务，却未披露更换次数、费用边界或到岗期限。,,0,0,品牌退费检索未取得育儿合同和退出路径；免费岗前培训及高端服务定位不能证明客户可退中介费。,,3,1,机构自填介绍列免费岗前及实操培训，可支持基础培训宣传；未取得健康、背调、育婴实操评分及候选档案。,https://edu.sdnews.com.cn/bj/j_1ee63/about/index.html,0,0,现有介绍没有北京育儿督导职责、回访频次或突发离岗安排；培训合作表述不能替代家庭订单售后制度。,,6,3,协会主体与机构自填原文交叉支持北京到家育儿服务，但公示名称有近名公司，当前接单及签约法人仍需核对。,"https://www.zqjz.com/index/index/wlist?id=113
https://edu.sdnews.com.cn/bj/j_1ee63/about/index.html",0,0,商家目录所列等级价对应月嫂且仅索引，不能转作育儿收费；查后未取得育儿工资、机构费与试工报价。,https://www.youbangkeyi.com/newdetail/106044
北京易家美,北京育儿业务有线索,9,54,是,2,6,机构自有店铺支持北京育儿业务并有培训宣传，但法人名称存在冲突；更换、退款与家庭费用均缺明确条款，先核主体再谈合同。,可纳入北京育儿服务机构候选，但换人保障目前没有可依赖的书面证据。公开口碑检索未取得可对应的独立雇主体验；不据此判为好评。需先解决科技/家政两种主体名及合同退换规则。,2026-09-21,1.0,0,0,易家美协会、机构自有店铺及招聘资料未提供育儿换人合同，免费次数、候选推荐与替补到岗期限均未取得可比较规则。,,0,0,未取得服务费退还比例、匹配失败或机构无人可换的退费方式，现有业务介绍没有交代提前终约扣费和到账期限。,,3,1,机构自有店铺与协会自述注重培训，招聘要求育婴证并称商业保险；尚缺证书核验、背景健康检查及保单适用细节。,"https://www.chsa.com.cn/nd.jsp?id=725
https://www.beijingbaomu.com/user/bjyjm/
https://b.dianzhangzhipin.com/job/1XZ52d-4EVA~.html",0,0,一般培训管理表述没有说明专属顾问、回访频率和投诉升级职责，现有公开资料不足以给育儿督导或售后流程加分。,,6,3,机构自有店铺和协会可定位北京朝阳育儿服务，但科技有限公司与家政有限公司名称不一致，当前签约法人及精确接待点仍缺核对。,"https://www.chsa.com.cn/nd.jsp?id=725
https://www.beijingbaomu.com/user/bjyjm/",0,0,7000至12000元及做六休一是2025招聘工资安排，不是当前家庭完整报价；服务费、带睡双胎和加班差价未公开。,https://b.dianzhangzhipin.com/job/1XZ52d-4EVA~.html
享月亲贝／享月月嫂,北京育儿业务有线索,8,64,否,1,6,公司和育儿嫂入口可定位，但可读的具体保障多指月嫂；本次不跨工种给分，需单独取得育儿嫂合同与流程。,小红书站内已读具名材料：作者称在北京享月双选会选高级月嫂后，对能力与资历评级不满意；涉及喂养专业能力的指责，但未取得独立医疗或合同证据。；作者称原育儿嫂在其家不到一个月后离开，后来在群内发现享月推介该人，简历把在其家的时间写长，因而质疑背调。原始上户是否由享月安排未说明，不能将此前全部服务问题归给享月。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,0,0,官网二十四小时到岗及每天试用明确针对月嫂，保障页正文又仅有占位文字；未取得适用育儿嫂的更换次数和期限。,"https://www.5imybaby.com/
https://www.5imybaby.com/guarantee/",0,0,合同页有透明及月嫂违约赔偿宣传，未提供育儿嫂完整合同；退出条件、服务费扣除与到账期限均缺可用条款。,https://www.5imybaby.com/contract/,0,0,媒体采访的技能和信用审核明确谈月嫂，未证实育儿嫂采用同一流程；因此不移用加分，待核实际筛选与考核标准。,https://paper.cnwomen.com.cn/zgfnb/html/2024-01/30/nw.D110000zgfnb_20240130_1-4.htm,0,0,采访所述签字日志、调解和理赔针对二十六天月嫂服务；育儿嫂对应的督导、记录及保单未取得，不能跨工种加分。,https://paper.cnwomen.com.cn/zgfnb/html/2024-01/30/nw.D110000zgfnb_20240130_1-4.htm,8,4,官网页脚主体、北京联系方式及育儿嫂栏目可归属，媒体能交叉对应公司；实际签约主体和候选可用性仍需核实。,"https://www.5imybaby.com/
https://paper.cnwomen.com.cn/zgfnb/html/2024-01/30/nw.D110000zgfnb_20240130_1-4.htm",0,0,未取得当前北京育儿嫂工资及机构费表；月嫂按二十六天的结算模式与服务金额不能直接换算为育儿嫂月份费用。,
柚妈柚子,北京育儿业务有线索,7,65,是,3,6,育儿业务有搜索线索，但当前法人归属和网页原文不够完整；换退与售后证据不足，起价也需重新确认。,小红书站内已读具名材料：作者自述首位阿姨上户后与事前需求不符，要求更换时近一周只获一位推荐；再推人选的经历也被质疑，最终提出解除及退费。；作者称收到5份简历、面试2人，肯定顾问需求梳理和匹配沟通，两位曾考虑，但因担心后续可替换人员池较小而未选。这是预期担心，不是发生过替换失败；提到朋友月嫂合同较友好属于转述，未读合同不视为现行育儿售后规则。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,0,0,已检索育儿嫂换人政策，未取得可适用的免费次数、替补时限和同档保证；一加多服务团队宣传不能转为换人条款。,,0,0,未取得北京育儿嫂试工失败、短期退出和长期匹配失败的退款公式；现有品牌与门店线索不能补足合同退费证据。,,3,1,官网检索正文提身份司法审核和体检，但原页本轮只读到部分页脚，保险又明确月嫂；育儿嫂实际考核记录仍缺。,https://www.youmayouzi.com/,0,0,检索未取得可审阅的育儿嫂护理日志、入户指导和售后升级标准；品牌满意率与团队口号不能证明具体售后机制。,,2,1,北京育儿业务主要见搜索正文，品牌分别关联家嘉华洋和乐太母婴的资料未闭环；不能据旧主体判断当前合同责任。,"https://www.youmayouzi.com/
https://www.8jiajia.com/shanghu/95.html
https://www.zhaopin.com/companydetail/CC365965837.htm
https://www.cnblogs.com/baifuai/articles/22794415",2,1,官网索引有育儿嫂五千元起，但报价日期、休息日及服务费未明，原页未完整读到；仅作起价线索而非现行总价。,https://www.youmayouzi.com/
阳光北亚家政,北京育儿业务有线索,7,65,是,2,6,主体与北京服务有政府及商家线索，但官网本轮未回读；较具体材料偏历史，换人、退款及当期收费仍待核。,有政府及公开业务证据；找到历史退费正面事例，但当前育儿嫂换人能力仍须合同及在岗候选验证。没有找到可核验的近期具名育儿嫂独立评价。,2026-09-21,1.0,0,0,定向检索及商家资料未取得当前育儿嫂免费次数、候选期限和到岗保证；旧培训或诚信事迹不能代替具体换人政策。,,0,0,政府报道记录的未上岗退款是二〇一七年老人家政个案，并非育儿嫂规则；当前匹配失败退出及金额公式仍缺。,https://www.bjwmb.gov.cn/sbhr/zghrb/2019/05/10003946.html,3,1,政府历史报道和品牌资料有培训后客户考核介绍，仅支持历史流程线索；当前候选体检、背景核验与考核样本未取得。,"https://www.bjwmb.gov.cn/sbhr/zghrb/2019/05/10003946.html
https://www.cnpp.cn/pinpai/1626274.html",0,0,已查政府、品牌和商家材料，未取得当前育儿嫂督导频次和投诉升级约定；公开电话不足以证明具体售后机制。,,4,2,政府历史报道、第三方品牌档案与北京商家目录能对应公司及育儿业务；本轮官网无法回读，现行接单和主体仍待核。,"https://www.bjwmb.gov.cn/sbhr/zghrb/2019/05/10003946.html
https://www.cnpp.cn/pinpai/1626274.html
https://www.beijingbaomu.com/user/bjygbyjz/",0,0,未取得当期育儿嫂工资与中介管理费的可比明细；历史服务事迹和目录介绍没有给出当前家庭总费用或附加费。,
北京置业家政,北京育儿业务有线索,7,65,是,2,6,北京服务入口和地址可找到，但完整法人缺失；健康户籍仅为商家声明，换退、售后及当期收费尚缺公开细则。,已逐家查主体、服务规则与独立评价并回读公司原页；能确认公开业务和联系线索，仍不能确认实际法人和换人责任。未发现可归属评价不等于口碑良好。,2026-09-21,1.0,0,0,已读机构自有商家介绍及人员列表，未取得更换次数、差价、响应或到岗条款；服务覆盖全市不能推定全市均有即时替补。,,0,0,未取得中介费与管理费组成，也没有试工取消和换人失败退款规则；现有联系与人员信息不足以说明退出金额。,,3,1,商家声称阿姨均有健康证和户籍证明，但没有说明验证程序；只能记持证宣传，近期体检、背景和实操仍缺记录。,https://www.beijingbaomu.com/user/zhiye/about.html,0,0,简介泛称适应不同家庭，未取得具体回访、入户督导或空档期安排；联系电话和人员名单不计作已具备售后机制。,,4,2,机构自有商家页有北京育儿服务、顺义地址和电话，但仅用置业家政品牌名，完整法人及代码未披露，合同责任方尚不清。,"https://www.beijingbaomu.com/user/zhiye/
https://www.beijingbaomu.com/user/zhiye/about.html",0,0,本轮读取的简介及联系页没有当期育儿嫂价格；白班或住家、夜间照护、休息和机构费仍需分别报价，不能用人员列表推算。,
北京昊煜坤城家政公司,北京育儿业务有线索,7,65,是,2,6,商家分类和管理宣传能提供少量线索，但近名法人关联、具体北京育儿供给及换退条款都未确认，当前保障依据较弱。,逐项深查后业务证据仍弱：仅商家服务分类，没有具体育儿单；同名法人不可直接合并。暂不能判断真实供给、售后或口碑。,2026-09-21,1.0,0,0,昊煜坤城主页仅列育儿服务分类，未取得对应更换承诺；实际候选、免费次数、替补到岗和无人可换的处理均不明。,,0,0,现有商家页和精确名称退费检索没有提供育儿服务解约退款规则，不能由企业管理咨询公司的经营范围推定可以退费。,,3,1,商家简介有培训与标准化管理理念，可记录为一般培训宣传；没有可检查的育儿课程、考核及候选人健康背景资料。,https://www.beijingbaomu.com/user/bjhykc/,0,0,商家只有一般管理理念，没有跟踪或售后具体信息；育儿督导职责、回访频率、紧急响应和换人协调流程均未取得。,https://www.beijingbaomu.com/user/bjhykc/,4,2,机构自有商家分类提供北京育儿业务线索，但近名企业管理咨询法人未证关联，招聘与服务列表为空，当前责任主体和接单不明。,"https://www.beijingbaomu.com/user/bjhykc/
https://www.shuididp.cn/yp-70f91c10142b306166eb142815307301.html",0,0,主页未提供育儿工资、机构服务费或更换差价；没有适用的家庭收费资料，不能把同名企业经营信息当作费用透明证据。,
利人家政,北京育儿业务有线索,7,65,是,2,6,协会和近期活动支持北京主体与育婴业务，培训只能作间接线索；换人、退费和完整费用缺口使目前保障参考分有限。,补入北京本地综合家政候选。已经核到真实主体及近期活动，换退合同和独立育儿嫂交易样本未取得；协会的口碑形容与阿姨库数字不足以支撑高排名。,2026-09-21,1.0,0,0,已查利人协会介绍与商家资料，未取得育儿嫂免费换人、同级替补及到岗条款；阿姨库和门店规模不能代替具体承诺。,,0,0,未取得利人的试用退费、提前终约与匹配失败退出公式，协会会员身份或一般行业公约不等于该店已签署这些保障。,,3,1,协会介绍与活动报道提人才培训及严格培训，属于企业经外部渠道发布的培训线索；个人背景、育儿考核和健康标准未核。,"https://www.chsa.com.cn/nd.jsp?_ngc=-1&fromColId=-1&id=862
https://www.visitbeijing.com.cn/article/4OzXCrSMgM3",0,0,总部和多门店体系只说明组织线索，尚未取得育儿督导频次、夜间应急响应和退款审批职责，不能据门店数量计售后分。,,4,2,协会原文和北京活动可对应利人主体与育婴业务，主要依据协会介绍、第三方商家索引；当前直接接单和统一门店地址未核。,"https://www.chsa.com.cn/nd.jsp?_ngc=-1&fromColId=-1&id=862
https://bj.jiazhenggang.com/user/bjjzg26/
https://www.visitbeijing.com.cn/article/4OzXCrSMgM3",0,0,现有协会、活动及商家资料未提供北京育儿工资、机构费、保险及节假日差价，电话询价入口不能代替公开费用结构。,
春和万家,北京育儿业务有线索,7,65,是,2,6,协会与本地目录支持北京服务线索，筛选只有一般宣传；婴幼儿长期照护范围、换退条款和实际收费都需要补直接依据。,协会和本地目录能补机构广度；已经逐项检索业务、换退和口碑。公开合同和可归属的近期雇主样本未取得，重点核其是否确有婴幼儿长期照护人才及能否兜底替补。,2026-09-21,1.0,0,0,春和万家协会和本地目录没有免费换人、临时离岗补位与同档替补条款；查后缺少到岗时限，不代表机构一定不支持换人。,,0,0,未取得育儿嫂试工失败、提前解约或长期匹配失败的退款范围与计算办法，协会服务分类不能作为退出退费保证。,,3,1,本地商业目录称系统培训、严格筛选，仅为间接宣传；没有育儿实操考试、健康体检、背调和前雇主核实的具体流程。,https://www.mmmiaomen.com/svc?district=changping&street=cp01,0,0,品质高效等目录表述不构成督导制度，现有资料未给入户指导频次、投诉负责人或突发离岗处置安排，本项无可用依据。,,4,2,协会主体及昌平地址可与本地育儿陪伴目录对应，但育儿工种原文有笔误，长期婴幼儿服务和当前接单尚需直接核实。,"https://www.chsa.com.cn/nd.jsp?_ngc=-1&fromColId=-1&id=811
https://www.mmmiaomen.com/svc?district=changping&street=cp01",0,0,协会和商业目录没有可验证的育儿工资、机构费与试工价格，服务名称和联系电话不能形成家庭完整报价依据。,
家家福宁,北京育儿业务有线索,7,65,是,2,6,政府名录和近期育儿招聘支持北京业务，培训供给仅为线索；换人、退出、督导和面向家庭的完整收费仍没有公开依据。,有较新的官方和育儿嫂招聘证据，应纳入本地机构范围。口碑专项搜索主要是商业推荐；另见2022公共场所抽查不合格旧线索，具体场所、原因和整改不明，不能当作2026阿姨健康或育儿嫂服务差的结论。,2026-09-21,1.0,0,0,家家福宁官方名录与近期招聘没有免费换人、同档候选及到岗时间条款；社区网点与招聘人数不能等于实时替补能力。,,0,0,公开材料没有育儿试工退出、提前解约及多次换人失败的退费公式，不能由输入基地或政府列名推定已承诺退款。,,3,1,近期技能培训师招聘与劳务输入基地能提供弱培训线索，尚未给出育儿人员健康、背景和实操考试流程及个人材料。,"https://www.sohu.com/a/1035281853_121106842
https://xinwen.bjd.com.cn/content/s690c5cbfe4b02424b0c2997d.html",0,0,现有资料能证社区家政活动，但没有育儿督导回访、夜间应急联系人和离岗补位流程，其他养老业务安排不外推。,,4,2,政府名录明确家家福宁全称，2026就业招聘列育儿嫂岗位；主要由名录与招聘交叉支持，北京机构自有接单入口和档期未核。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4251026.html
https://www.sohu.com/a/1035281853_121106842",0,0,已读招聘未给可核的育儿家庭报价，推广价格没有作为可靠价目表采用；机构费、试工和附加收费目前仍缺。,
安欣生活（北京）,北京育儿业务有线索,7,65,是,2,6,北京店铺和育儿经历支持业务线索，培训仅为自述；雇主换退争议单独呈现，现行合同主体与保障规则仍缺。,小红书站内已读具名材料：作者以北京安欣生活/北京安欣家政标签称，5月24日咨询时得到不满意可全退保证金的说法，5月31日决定不用试工阿姨并要求替换，未匹配到合适人员；6月2日被告知扣保证金。作者6月12日回复交了1000元订金，7月19日回复称已咨询律师并起诉。；作者称2025-11-12与安欣生活签3个月用人合同，试工前收阿姨工资30%定金、之后补齐，三个月服务费3500元；原阿姨1月11日因家中有事申请下户后，约8000元的替换需求得到的候选多为1万元以上。作者转找别家后要求退剩余1个月服务费被拒，称合同有不满意阿姨不予退款条款；改配家政阿姨又被要求付费。首图与正文将安欣生活、北京安得关联，正文称被收购。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,0,0,现有换人材料来自雇主历史经历，不能证明现行免费次数、同档供给和补位义务；没有可归属官方育儿更换承诺。,"https://www.xiaohongshu.com/explore/6848d6270000000022007cf0
https://www.xiaohongshu.com/explore/696cd537000000000b00826f",0,0,订金和剩余服务费争议均为单方历史自述，未取得合同或司法结果；不当通用退款政策，当前退出算法仍缺。,"https://www.xiaohongshu.com/explore/6848d6270000000022007cf0
https://www.xiaohongshu.com/explore/696cd537000000000b00826f",3,1,2026更新的教育宝店铺列母婴及家庭育儿课程和上户安排，支持培训宣传；缺候选背调、核证与体检的具体流程。,https://bj.jiaoyubao.cn/edu/bjdj/,0,0,培训店铺和雇主反馈未提供现行官方督导、在岗复训及事故保险制度，有限匹配争议也不能推断全体售后水平。,,4,2,北京培训店公示袋鼠管家家政主体，育儿上户介绍与雇主经历支持业务线索；雇主签约法人及收购说法仍未独立核实。,"https://bj.jiaoyubao.cn/edu/bjdj/
https://www.xiaohongshu.com/explore/6848d6270000000022007cf0
https://www.xiaohongshu.com/explore/696cd537000000000b00826f",0,0,3500元三个月服务费、月薪三成和1000元订金都是历史个案金额，没有现行完整收费表，不当统一价格依据。,"https://www.xiaohongshu.com/explore/6848d6270000000022007cf0
https://www.xiaohongshu.com/explore/696cd537000000000b00826f"
和美家,北京育儿业务有线索,7,65,是,2,6,北京婴幼儿岗位与技能评价资质有据，长期育儿服务范围仍待确认；换退、育儿售后和客户报价资料不足。,纳入有北京婴幼儿照护岗位证据的候选，标明主业偏社区养老。其技能评价备案是实证，但长期育儿合同、服务费和更换机制仍不足。,2026-09-21,1.0,0,0,和美家母婴招聘含幼儿照护，但查后未取得育儿免费更换次数和补位期限；技能评价资质不代表承担换人义务。,,0,0,已查和美家育儿退费及合同，未取得提前终约、试工失败和无人可换的退出办法，扣费与到账期限仍未知。,,3,1,政府备案列育婴员及母婴护理技能等级认定，提供评价能力依据；未证明拟派人员均通过、现行筛选如何执行。,https://rsj.beijing.gov.cn/ywsite/zyjd/zyjd_jnrd/zyjd_bjrs/bjrs_yrdw/202010/t20201023_2119318.html,0,0,海报的社区巡访和驿站运营集中养老，未取得母婴客户督导职责、问题处置和临时替补，不能跨工种加分。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/W020251103333911223533.jpg,4,2,政府主体和育婴认定结合北京母婴招聘职责支持婴幼儿业务线索，长期住家育儿产品及签约接待主体仍需核。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4250955.html
https://rsj.beijing.gov.cn/ywsite/zyjd/zyjd_jnrd/zyjd_bjrs/bjrs_yrdw/202010/t20201023_2119318.html
https://www.sohu.com/a/865804680_121123759",0,0,本公司招聘段没有母婴工资，不能借同文宝贝多多薪酬；查后未取得现行育儿工资、服务费及试工总价。,https://www.sohu.com/a/865804680_121123759
友好和平,北京育儿业务有线索,7,65,是,2,6,政府育儿招聘和品牌海报支持业务，筛选流程只有历史自述；换退、育儿售后与客户收费缺现行资料。,可以纳入北京育儿机构。政府具体招聘交叉支持育儿业务和联系电话；培训自述较完整，但用户核心的换退期限与真实订单售后仍待合同核验。,2026-09-21,1.0,0,0,友好和平有明确育儿招聘和品牌介绍，查后仍未取得育儿免费换人次数、候选推荐或替补到岗期限。,,0,0,品牌合同与退款专项检索未取得育儿退出算法，试工失败、无人可换和提前终约时的服务费处理仍未知。,,3,1,2025年海报列健康、背调、理论实操及心理准入与回炉培训，提供历史流程自述；现行执行和人选档案未核。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/W020251103349990758282.jpg,0,0,海报的标准化操作及持续培训没有说明育儿督导或问题处理职责，查后仍缺回访频率和应急响应安排。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/W020251103349990758282.jpg,4,2,政府海报与具名育儿招聘交叉支持北京主体、业务和联系方式，最新直接接单及合同责任方仍未核实。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4251041.html
https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/W020251103349990758282.jpg
https://www.bjdch.gov.cn/zwgk/zdlygk/wgjyzdly/jycy/202501/t20250113_3987794.html",0,0,政府育儿招聘7000至12000元不含客户服务费，官网1680元为培训学费；均不构成现行家庭育儿报价。,"https://www.bjdch.gov.cn/zwgk/zdlygk/wgjyzdly/jycy/202501/t20250113_3987794.html
https://hp-jia.com/aboutus?cid=2"
德茂家政,北京育儿业务有线索,7,65,是,2,6,政府海报和2026招聘支持北京育儿业务，培训要求仅为线索；招聘职责错配，换退及客户报价需重点核。,有明确北京育婴/育儿服务线索，纳入候选；具名口碑搜索未取得可归属的独立雇主履约经历。政府品牌介绍里的满意度、诚信、规模和客户好评是展示口径，不用于服务质量排名。,2026-09-21,1.0,0,0,德茂海报与育儿招聘没有更换保障，专项检索后未取得免费次数、同档差价及推荐到岗期限，仍需育儿合同。,,0,0,已查品牌育儿退费和合同，未取得试用失败、终约或无人可换时的扣费算法，招聘说明不形成客户退出路径。,,3,1,海报有合作培训自述，招聘要求证书或经验，只能作基本要求线索；岗位职责混入养老模板，实际育儿考核仍需核。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031646087714725.jpg
https://jy.daxing.net/zpxx/202149.jhtml",0,0,现有材料描述咨询培训与派工，但没有育儿回访、督导责任或投诉升级安排，不能仅凭有门店而加售后分。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031646087714725.jpg,4,2,政府海报明确育儿嫂服务，2026就业平台同名岗位及地址交叉支持北京业务；职责错配和现行合同仍待核。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/t20251031_4249364.html
https://jy.daxing.net/zpxx/202149.jhtml",0,0,6000至12000元为已过截止日的招聘工资，未包括客户管理费；另列月嫂工资不能用于育儿报价比较。,https://jy.daxing.net/zpxx/202149.jhtml
育乐宝家政,北京育儿业务有线索,7,65,是,2,6,北京怀柔主体与科学育儿服务有政府展示线索，培训仅为历史自述；换退、售后及家庭收费未取得。,有明确北京育婴/育儿服务线索，纳入候选；具名口碑搜索未取得可归属的独立雇主履约经历。政府品牌介绍里的满意度、诚信、规模和客户好评是展示口径，不用于服务质量排名。,2026-09-21,1.0,0,0,育乐宝政府介绍明确科学育儿，但专项检索后仍未取得免费换人次数、同档候选范围和推荐到岗时限。,,0,0,未取得育乐宝育儿雇主合同，试工、提前终止或无人可换时的退费比例和扣款项不明，招聘活动不能补足。,,3,1,历史海报介绍职业道德及母婴基础进阶课程，支持培训宣传；未取得育儿健康、背景和实操考核的执行标准。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031645131792209.jpg,0,0,社区与就业服务体系没有给出上户育儿回访、专属督导或夜间应急职责，查后仍没有可用售后机制。,,4,2,政府海报明确北京怀柔主体和科学育儿服务，劳务活动是补充线索；当前接单、适用月龄和签约主体尚未核。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/t20251031_4249358.html
https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202510/W020251031645131792209.jpg
https://www.kulun.gov.cn/zwgk/zfxxgk/fdzdgknr/zdlyxx/wgjy1/202504/t20250407_935523.html",0,0,查后没有育儿工资、机构费和试工收费，双选会岗位总量属于多家机构，不提供本公司的家庭费用信息。,
爱因宝,北京育儿业务有线索,7,65,是,2,6,具名育儿招聘及近期劳务名单支持北京业务，筛选仅有基本条件；当前合同换退、门店和完整费用仍待核。,纳入北京育儿机构候选，具名招聘原文、媒体招聘表与联系方式形成北京业务证据。未补到换退合同及独立订单口碑，暂不因招聘量、品牌名或未检出投诉而优先推荐。,2026-09-21,1.0,0,0,爱因宝品牌及全名换人检索未取得育儿免费次数、到岗期限和跨档差价，具名招聘人数不等于替补库存。,,0,0,未取得育儿服务终止退款比例、扣费规则或明确解决案例；招聘无收费针对求职者，不能解读为客户零中介费。,,3,1,历史招聘优先证书及培训经历并列年龄学历，只有基础用工要求线索；缺婴幼儿实操、背调、体检及核证流程。,"https://www.sohu.com/a/842875721_121123772
https://finance.sina.com.cn/jjxw/2025-03-06/doc-inenthxf6672764.shtml",0,0,公开招聘与品牌介绍没有育儿专属督导、定期回访或紧急替班职责，专业服务宣传不足以确认售后机制。,,4,2,具名北京育儿招聘、媒体岗位表及2026劳务名单交叉支持主体业务，但信用代码、现行门店与合同仍未取得。,"https://www.sohu.com/a/842875721_121123772
https://finance.sina.com.cn/jjxw/2025-03-06/doc-inenthxf6672764.shtml
https://www.sohu.com/a/992955416_121106854",0,0,5000至20000元出自2025招聘且未列周期工时，不是当期客户套餐；服务费、休假和试工价格仍缺。,https://n.sinaimg.cn/sinakd20250306s/259/w640h419/20250306/dd9a-0123262116afc32a99d701a346b2729d.png
阿依妈妈,北京育儿业务有线索,7,65,是,2,6,协会和平台索引提供北京业务线索，历史回访仅能有限参考；北京店法人关联、人员筛选与换人退费合同均待补证。,建议新增北京候选，但北京与天津培训主体、实物品牌必须区分。58育儿好评仅是单条索引线索，历史员工诉讼不作为育儿消费差评。,2026-09-21,1.0,0,0,阿依妈妈协会名单与58索引没有给北京店现行更换承诺，用户称次日到岗也只是个案，不能当机构替补时限。,https://m.58.com/bj/baomu/,0,0,未取得可归属北京育儿订单的退款案例或退款公式，历史员工纠纷文书并非雇主服务合同，不能作为家庭退出保障。,,0,0,北京候选人课程、体检及背调未取得，天津同名机构的培训与其他法人不可套用，单条好评也不证明统一筛选流程。,,3,1,第三方转载历史文书提派单和客户回访，能作为旧运作线索；现行育儿回访频率、负责人员和问题响应期限尚未公开。,https://zh.wikisource.org/wiki/北京市丰台区人民法院（2023）京0106民初4972号民事判决书,4,2,协会名单可定位北京教育咨询主体，58索引提供北京育儿广告；家政商家名与该法人关系未核，主要仍靠名录和索引交叉。,"https://www.zqjz.com/index/index/wlist?id=113
https://m.58.com/bj/baomu/",0,0,现有协会、平台及历史文书未给适用的育儿家庭工资、机构费和试工报价，客户好评不能补足收费透明度依据。,
北京春宇家政服务有限公司（简介写春雨，名称需核实）,北京育儿业务有线索,6,79,是,1,6,北京育儿招聘已找到，但春宇与春雨的名称冲突需要先核清；筛选、督导及换人退费均没有足够公开依据加分。,现有具体育儿岗位线索，核心问题是公司名称不一致；应先拿执照及现行合同。没取得独立消费经历，不能据此给好评或差评。,2026-09-21,1.0,0,0,已检索春宇及春雨名称的换人资料，未取得育儿嫂换人承诺；次数、同档差价、补位期限及无法匹配处理仍缺。,,0,0,没有取得可归属该店的育儿服务退费规则，主体名称又存在冲突，现阶段无法比较试用退出、扣费公式和退款时间。,,0,0,现页有婴儿照护招聘，但没有筛选、培训、体检或背景核验标准；岗位涉及婴儿不等于已证明人员经过专项考核。,,0,0,已读机构自有页未提供育儿督导和回访制度，也没有异常事件负责人或升级渠道，不能从近期招聘推定售后执行能力。,,6,3,机构自有页有北京近期育儿岗位及预约入口，但标题写春宇、正文写春雨，主体名称冲突尚未解决，合同法人必须进一步核对。,https://www.beijingbaomu.com/user/bjchunyu/,0,0,8000至8500元为照护四个月宝宝的招聘工资，不是雇主服务报价；休息安排、机构费、试工与附加费仍缺完整信息。,https://www.beijingbaomu.com/user/bjchunyu/
